sample_id,System_A,System_B,System_C,System_D,System_E
GSM1602902,1807.3383116833747,1472.3371563050378,932.491440873825,854.2357169565794,643.4170280337285
GSM1602903,1836.736967518843,1537.0854102081548,1022.9540462065944,900.6659327542975,860.2607987964848
GSM1602904,1736.4902768464517,1649.3447238737235,832.8021832544473,828.585352445054,534.6186429418976
GSM1602905,1682.550292528229,1613.6798851177564,807.4219104471858,797.6357154000243,591.7717071524494
GSM1602906,1650.5257600700843,1567.8150188616528,736.8438968657192,794.828713879856,607.2026116561165
GSM1602907,1768.4138807588397,1775.4395352466045,836.5095027365251,959.2376660492156,671.5320101305651
GSM1602908,1800.3977768021268,1395.349407292807,1116.8211019215778,817.9426216419506,1027.8423777788985
GSM1602909,1605.9783031047157,1600.070584514574,788.768310839786,671.7099220453583,703.9729046454313
GSM1602910,1643.1394574320248,1574.77816915504,838.6403899330944,768.2869161495446,516.6182747229032
GSM1602911,1683.7650218764447,1644.3622750280683,801.2169601982996,786.7826361640546,651.1527468292497
GSM1602912,1790.6438202940826,1569.6087886371151,853.2628135089817,1017.786388226089,562.762661048012
GSM1602913,1590.5902738584246,1596.6968707348306,766.4363906052486,644.1542023932807,716.8127802504541
GSM1602914,1660.787861941226,1669.6989776439575,786.2485210034774,800.4152588820571,653.2024909701558
GSM1602915,1638.6602310407852,1647.3068233974827,758.6401853659818,758.3417378338427,737.445733681102
GSM1602916,1688.1911330457924,1637.299212824896,774.080972654353,790.9859545007494,716.799433717646
GSM1602917,1709.7559811329102,1672.4998794706453,739.3070972577298,862.5432602382498,684.8244609147932
GSM1602918,1715.8564736982307,1590.2236966396697,831.4256215234382,800.8985546330287,559.1909445692208
GSM1602919,1669.821674606031,1529.7547528484738,721.5935304189761,765.9852508220365,631.3713141516337
GSM1602920,1674.8673721446066,1621.4264830772345,767.9425955555698,790.4320023422915,792.0918746938496
GSM1602921,1688.071803753347,1641.298356125102,798.4992208545473,846.1817339282397,518.6354426024982
GSM1602922,1717.89441336654,1567.206187170409,729.053142515173,924.8961490438352,605.8303360360796
GSM1602923,1714.5690702264735,1259.8353581672454,1316.35180432406,691.5300504015131,1527.2958936719417
GSM1602924,1670.5670469517536,1393.4305592595556,970.6882267515766,737.6340552592719,729.9947398263121
GSM1602925,1770.9425510178537,1636.0224065890989,766.1159203958714,929.4312235254384,531.9561266650499
GSM1602926,1767.138352007284,1531.0138549175108,813.7694733612634,895.6352594687796,558.9848721160915
GSM1602927,1733.1609895949805,1666.7404260916956,820.4118148336902,878.5167845469123,534.7540608877298
GSM1602928,1637.114757819103,1501.9426591093452,785.7742331024792,766.8568478105408,585.8369267842954
GSM1602929,1819.3775414554048,1621.99947686808,913.5022268046888,970.059398945382,482.2803943125045
GSM1602930,1690.211926984114,1653.1220793823632,806.9787437545256,837.345701452261,537.6955548234455
GSM1602931,1704.0054346842835,1531.9641053464256,840.3980215449101,844.289540264831,483.5380832785613
GSM1602932,1719.8410491888608,1443.9811259966827,970.2273846684166,788.083207940349,753.5157832934856
GSM1602933,1815.9168126469976,1443.8461248754193,1028.696516740365,798.6007523131284,643.7471768943451
GSM1602934,1804.881525686541,1608.8538547043408,937.0505635861456,844.9827197722943,590.622368596968
GSM1602935,1782.8662342357702,1542.4797779156545,922.5711881340712,1034.3824819403508,436.5300846467635
GSM1602936,1698.8644420616438,1486.9150903822574,914.579257286936,763.2666265503167,784.8001767462556
GSM1602937,1717.2469482549022,1668.3166410176143,784.3041735610632,902.3211940976272,548.4304602137736
GSM1602938,1777.7945197350728,1621.635572849333,889.4792964201451,926.0442798549992,638.2742206145367
GSM1602939,1775.512533614411,1587.1104887375031,815.8048443826701,1041.8596888437414,353.0910582571396
GSM1602940,1779.5403805018375,1594.002674753443,811.804719198065,1037.4659071695642,488.6889295246901
GSM1602941,1687.5662164748164,1601.006874844481,787.175317225443,737.5689387814109,731.2466121173447
GSM1602942,1763.8752086626982,1637.0953630883514,833.2657773346409,879.7265970494364,584.6123167042424
GSM1602943,1688.158740296131,1612.0105571295971,790.4263060939347,821.6214022564518,623.8362226235531
GSM1602944,1717.7566259640726,1577.8145948280426,818.212870456171,966.0246955988432,273.9078804360306
GSM1602945,1717.5269789378708,1645.3958975513715,805.0636585326238,858.5545283200345,545.402696082152
GSM1602946,1703.1576967696983,1535.631608060864,824.4238236683686,869.2581124676872,602.6990096453555
GSM1602947,1773.4211921802907,1596.2651204809144,932.0309847441486,917.5822170815064,742.215286650372
GSM1602948,1542.702523388114,1459.265536368087,705.6074374416021,524.5774217230137,692.6333371595383
GSM1602949,1725.96734182839,1585.7803059075122,845.4667972538327,810.2528545268042,648.7644354462309
GSM1602950,1712.970500079182,1696.9564424168184,729.8806657701298,899.0110496589496,543.832234017209
GSM1602951,1702.9828542967598,1502.662320506778,890.8057118257802,777.429613682054,632.3016594363035
GSM1602952,1691.0052363882533,1603.4942158572303,824.8913222444298,829.494313635284,532.5492940074218
GSM1602953,1741.4314648857353,1350.697903904147,909.3083311653736,825.3243948526933,584.0785595280604
GSM1602954,1580.5726927461665,1545.701074251012,817.3855139217558,641.451459590623,654.5898384651882
GSM1602955,1750.9242371377677,1652.9533728854549,790.538681726377,902.600066347426,482.4495152174232
GSM1602956,1583.690004544158,1584.773998356109,849.6279230877981,649.8045720370355,853.9420990535891
GSM1602957,1665.615894110034,1567.5783482980096,776.187268096668,697.8328858772093,675.7404812037803
GSM1602958,1723.7300468373396,1420.8428825218907,830.1301200687385,717.8398201129312,661.1278330783834
GSM1602959,1806.5996360329937,1578.9487249887543,870.6563792932666,833.169682055327,626.0571580731003
GSM1602960,1596.6513274407523,1612.0926063893876,735.1659665398756,679.8772165794371,778.8476626446236
GSM1602961,1651.8762860292954,1646.3602700183085,745.3608841334881,765.8221667336347,752.8788680001016
GSM1602962,1608.8908170675577,1553.182467706286,780.5569854784053,654.4706274740602,733.5491925402675
GSM1602963,1572.0320959195724,1565.981968914968,760.7963201699467,611.0779665800092,803.4576894721813
GSM1602964,1683.1826656501153,1650.524906051086,773.1965553801901,789.0045291582328,813.2486537498717
GSM1602965,1605.7479182604677,1623.7858996957366,656.9448025541296,730.4495967781804,760.1153737592622
GSM1602966,1633.9182485052506,1543.2347800098305,811.2919036836529,655.7510534127568,668.3233974588529
GSM1602967,1672.4214906810776,1684.156996196526,679.1203162902202,899.0866132659812,759.5327145546144
GSM1602968,1589.3966921059327,1390.7139388126116,729.9639380882782,596.936999052009,849.3651656297607
GSM1602969,1609.0991564813285,1603.4510672970573,786.9562871188491,727.6414755187707,801.6960202230257
GSM1602970,1641.595248689051,1580.7422560540126,777.5913223876623,938.7550836062655,638.7534616092844
GSM1602971,1668.4102656128143,1595.1777301289485,902.2958725159478,782.2419842295412,591.9255427588123
GSM1602972,1773.344929918021,1505.4456162848855,940.8711763412692,940.4242304938408,551.8022856281796
GSM1602973,1681.154248929099,1259.5676958834674,802.1818816431751,750.2058139139344,736.8660230659498
GSM1602974,1720.0064425096125,1377.3693393202177,933.2838430402144,988.6392399399074,322.4358905172694
GSM1602975,1786.6583500834222,1606.215796461639,995.8290382583972,849.1243319027271,833.8981198085248
GSM1602976,1728.3827956683435,1439.2829956525893,885.1372971387327,884.4322985904473,557.3061498218867
GSM1691861,1754.3495735612842,1461.777532561271,970.4454266575632,895.4955501825016,634.9917155263347
GSM1691862,1756.1301950275165,1610.1235671291845,814.5235799417369,870.9491754936253,587.2291997023858
GSM1691863,1808.0392343416825,1631.2120735930391,927.2948120477148,984.835709206809,629.3918300596488
GSM1691864,1790.1019693679282,1628.3456815069385,863.3185249246935,948.1974579115904,419.8630442711956
GSM1691865,1787.413825120403,1565.079297774958,812.4534975077895,917.7380435781924,528.4331664203046
GSM1691866,1776.3403241933593,1584.4370915667596,898.2529342379949,998.9333820597968,401.6399567139288
GSM1691867,1812.7758817204092,1551.5954980360002,896.5483182356847,969.09790501503,523.8358327368633
GSM1691868,1789.9720602505586,1576.4079252636584,806.5895083889382,963.7601743022032,509.6040796399548
GSM1691869,1753.4952804229115,1533.995274619455,883.3142755836543,1025.892175745037,440.2905140985022
GSM1691870,1727.136280202275,1578.5153917986308,812.5825331798032,926.9081491270572,508.7523234092832
GSM1691871,1818.131371073453,1601.4278547108934,927.3192740728872,997.0257108141486,433.8020898955092
GSM1691873,1745.8432110344902,1621.5823711989715,879.9518638020709,829.5684072607964,628.0225365547258
GSM1691874,1596.2115660972067,1706.5890547831375,662.3211425173913,967.3872040963324,595.2132955686229
