gene,pc1_loading,abs_loading
MRCL3,0.0133408344745238,0.0133408344745238
SYT7,0.013338718921821598,0.013338718921821598
C7orf20,-0.013338463781949316,0.013338463781949316
C14orf92,0.01333775379359971,0.01333775379359971
MYCL1,0.013335553716494601,0.013335553716494601
BMP7,0.013335067610389982,0.013335067610389982
THSD3,0.013334444631522597,0.013334444631522597
C1orf26,0.01333438195134465,0.01333438195134465
SMCP,0.013331580011768013,0.013331580011768013
KCNK5,0.013330435095537238,0.013330435095537238
NFAM1,0.013330430032468027,0.013330430032468027
KCNK9,0.013329146419978762,0.013329146419978762
PDK1,0.013322437339707489,0.013322437339707489
SFTPB,-0.01332238234874342,0.01332238234874342
BRRN1,0.013319155044286487,0.013319155044286487
MMRN2,0.013313475356747945,0.013313475356747945
BMP5,0.013312770287284113,0.013312770287284113
POF1B,0.013308791333427824,0.013308791333427824
MAGEA11,0.013306019818598618,0.013306019818598618
FOXG1B,0.013305793937843396,0.013305793937843396
PTGFR,0.0132994686762205,0.0132994686762205
OR2T1,0.01329734434511815,0.01329734434511815
ACO2,-0.013296300343152998,0.013296300343152998
DRD2,0.013294775994269656,0.013294775994269656
GALIG,-0.013280854839753288,0.013280854839753288
GSC,0.013277565668209498,0.013277565668209498
NEB,0.01327486020691612,0.01327486020691612
TRIM62,0.01327213203784025,0.01327213203784025
POU6F1,0.013271635257229119,0.013271635257229119
ZNF228,0.013269427131119465,0.013269427131119465
ANKH,0.013268894345673984,0.013268894345673984
MAST2,0.013265579914971,0.013265579914971
EMX2,0.013264568372863893,0.013264568372863893
SLC29A2,0.013257271042079815,0.013257271042079815
C19orf26,0.013255672409489721,0.013255672409489721
MDS1,0.013252597385659181,0.013252597385659181
NDUFV2,0.013249724057064056,0.013249724057064056
KIAA1815,0.013249644001667055,0.013249644001667055
